lst,geographic_area_name,county,state,estimate_households_total,poor(<10K),lower_poor(10K-15K),middle_poor(15K-25K),upper_poor(25K-35K),working(35K-50K),lower_middle(50K-75K),middle(75K-100K),upper_middle(100K-150K),elite(150K-200K),upper_elite(>200K),median_income
NM,"San Juan County, New Mexico",San Juan County, New Mexico,42561,8.7,5,12.7,13.7,15.5,20.9,8.8,9.8,2.8,2.2,44321
NM,"Santa Fe County, New Mexico",Santa Fe County, New Mexico,62182,6.7,4,8,10.4,12.5,17.7,12.9,13.2,6.4,8.3,61298
NM,"Valencia County, New Mexico",Valencia County, New Mexico,24829,8,6.4,10.3,8.8,6.3,22.2,15,11.6,6.3,5.1,60601
NY,"Albany County, New York",Albany County, New York,128284,5.1,5.1,6.6,8.6,11,16.1,12.5,19.1,8.7,7.3,69953
NY,"Bronx County, New York",Bronx County, New York,513890,14.7,8.5,11.8,9.1,12.3,16.9,9.6,10,3.8,3.3,41432
NY,"Broome County, New York",Broome County, New York,79309,8.1,5.6,11.7,9.4,13.7,17.8,13.3,12.2,4.3,3.9,52010
NY,"Cattaraugus County, New York",Cattaraugus County, New York,33056,6.3,7.8,11.6,9.7,13.4,19.7,14.8,9.7,4,2.9,50912
NY,"Cayuga County, New York",Cayuga County, New York,31489,5.9,3.5,9.2,7.8,15.2,19.6,14.2,13.8,7.4,3.3,58665
NY,"Chautauqua County, New York",Chautauqua County, New York,55345,8.9,6.5,13.9,8.2,12.4,16.3,11.9,15.1,4.5,2.6,50272
NY,"Chemung County, New York",Chemung County, New York,33490,8.8,3.8,8,8.2,12.6,20.5,14.2,15.7,5.5,2.9,60782
NY,"Clinton County, New York",Clinton County, New York,31422,9.4,3.3,7.4,8.9,11.5,21.9,14.7,13.1,6.9,2.9,60198
NY,"Dutchess County, New York",Dutchess County, New York,110529,4.7,3.4,7.5,6.8,8.1,15.1,11.2,20.1,10.5,12.7,85901
NY,"Erie County, New York",Erie County, New York,398326,6.6,4.5,9.4,9.5,12,18.2,12.9,14.3,6.9,5.7,60652
NY,"Jefferson County, New York",Jefferson County, New York,41214,6.6,4.6,8.9,10.5,14.7,20.3,14.8,13.5,3.2,2.8,53917
NY,"Kings County, New York",Kings County, New York,978091,7.9,5.6,8.7,7.6,9.9,14.6,11.3,14.8,8.2,11.4,66937
NY,"Livingston County, New York",Livingston County, New York,23409,7.4,3.6,9.8,8.8,13,20.6,12.8,13.5,5.8,4.8,59173
NY,"Madison County, New York",Madison County, New York,25986,4.6,2.3,11.8,6.1,14.8,16.6,14.6,17.6,4.2,7.4,62918
NY,"Monroe County, New York",Monroe County, New York,305284,5.7,4.3,9.4,9.1,12.1,17.3,13.1,15.8,7,6.2,62103
NY,"Nassau County, New York",Nassau County, New York,449798,3,1.7,5.1,3.9,6.5,11.5,10.5,18.5,14.3,25,118453
NY,"New York County, New York",New York County, New York,768203,9.2,4.4,6.2,5.2,6.4,10.6,9.7,14,9.1,25.1,93651
NY,"Niagara County, New York",Niagara County, New York,90625,7.9,4.9,9.4,9.4,13.5,16.7,13.2,15.3,5.8,4,56304
NY,"Oneida County, New York",Oneida County, New York,90273,4.7,5.7,10.7,8.2,13.9,18.5,12.9,14.3,6.8,4.3,57391
NY,"Onondaga County, New York",Onondaga County, New York,183218,8.1,4.3,8.4,7.3,13.1,17.5,13.1,15.2,6.1,6.8,61577
NY,"Ontario County, New York",Ontario County, New York,46025,4.8,3.4,6.3,8.2,10.4,21.8,13.5,16,7.7,7.9,66568
NY,"Orange County, New York",Orange County, New York,131421,5,4,7.6,4.4,9.4,13.7,14,20.1,10.2,11.4,84458
