LST,Geographic_Area_Name,County,STATE,id,Estimate_Households_Total,"Estimate_Households_Total_Less_than_10,000","Estimate_Households_Total_$10,000_to_$14,999","Estimate_Households_Total_$15,000_to_$24,999","Estimate_Households_Total_$25,000_to_$34,999","Estimate_Households_Total_$35,000_to_$49,999","Estimate_Households_Total_$50,000_to_74,999","Estimate_Households_Total_$75,000_to_$99,999","Estimate_Households_Total_$100,000_to_$149,999","Estimate_Households_Total_$150,000_to_$199,999","Estimate_Households_Total_$200,000_or_more",EstimateHouseholds!!Median_income_(dollars),Estimate_Families_Total,"Estimate_Families_Total_Less_than_$10,000","Estimate_Families_Total_$10,000_to_$14,999","Estimate_Families_Total_$15,000_to_$24,999","Estimate_Families_Total_$25,000_to_$34,999","Estimate_Families_Total_$200,000_or_more",EstimateFamilies!!Median income (dollars),Estimate_Families_Mean_income_$,EstimateFamiliesPERCENT_ALLOCATEDFamily_income_in_the_past_12_months
NC,"Mecklenburg County, North Carolina",Mecklenburg County, North Carolina,0500000US37119,426313,4.5,3.4,6.5,8.2,12.9,18.5,13.1,15.2,6.9,10.9,69072,254759,2.7,2,4.2,6.9,15.9,86834,125391,34.6
NC,"Moore County, North Carolina",Moore County, North Carolina,0500000US37125,41530,5.2,3.3,10.7,8.7,10.8,20.3,14.4,14.5,6.4,5.6,62469,27191,2.8,2.9,5.6,5.5,7.1,78517,99220,34.9
NC,"Nash County, North Carolina",Nash County, North Carolina,0500000US37127,37574,7.8,6,11.5,10.1,13.5,21.5,10.5,13.6,3.3,2.2,50656,27002,5,3.8,8.8,8.4,2.7,58908,78198,37.6
NC,"New Hanover County, North Carolina",New Hanover County, North Carolina,0500000US37129,100189,7.1,4.3,10.1,7.9,15.4,16.5,10.5,14.8,6.1,7.3,56382,56160,3.9,0.8,5.6,5,12.1,81497,108799,29.7
NC,"Onslow County, North Carolina",Onslow County, North Carolina,0500000US37133,63604,8.4,1.9,11.4,10.1,18.8,19.9,11.5,10.9,5.1,2,49544,46202,7,1.2,7.6,9.5,2.7,54021,74233,31.6
NC,"Orange County, North Carolina",Orange County, North Carolina,0500000US37135,55259,8.7,3.1,5.1,7.5,12.2,13.8,10.8,15,9.7,14,74299,32657,3,1.5,2.8,4.1,21.5,118498,148513,26.5
NC,"Pitt County, North Carolina",Pitt County, North Carolina,0500000US37147,70926,8.5,5.4,10.7,8.5,13,21.1,11.1,13.2,4,4.4,53401,41427,3.6,3.4,9.1,8.9,5.8,64962,86613,49.8
NC,"Randolph County, North Carolina",Randolph County, North Carolina,0500000US37151,56117,6.6,5.6,12.2,9.7,16.3,21.9,13.6,10,3.2,0.9,49742,37795,3.6,3.2,8.1,8.4,1.3,58172,69067,32.4
NC,"Robeson County, North Carolina",Robeson County, North Carolina,0500000US37155,46272,16.3,9.6,13.1,10.9,16.1,14.5,8.9,7.3,2.3,1,35035,30034,11.9,5.2,12.1,11.7,1.5,43698,58699,43.9
NC,"Rockingham County, North Carolina",Rockingham County, North Carolina,0500000US37157,38462,7.8,10.2,13.4,10.5,14.5,19.1,12,8.5,2.1,1.8,43230,25717,5,8.4,10,10.4,2,49962,61096,41.4
